seed,family,hour,algo,carbon,latency_ms,hops,reroute_pct,deltaC_pct,deltaL_pct,emissions_proxy,deltaE_pct
45,interdomain,0,ciro_core,1294.7444786120375,27.381648291245646,4.085,0.0,3.090384880411501,10.195156321502065,2.66436760445473,17.950011957471293
45,interdomain,1,ciro_core,1369.5858113340755,27.381648291245646,4.085,0.0,2.9272662931361317,10.195156321502065,2.834908943706369,17.493272226595305
45,interdomain,2,ciro_core,1418.0398945200131,27.379646126743477,4.09,0.5,2.537555070845939,10.187098777706632,2.9156880823070694,17.610452481217994
45,interdomain,3,ciro_core,1481.8587141686157,27.359582087867967,4.085,0.5,3.0891036948331867,10.10635272922881,3.046157145871967,17.813158732328297
45,interdomain,4,ciro_core,1521.2519074969853,27.359582087867967,4.085,0.0,2.863586257293031,10.10635272922881,3.134293850240058,17.695091193601673
45,interdomain,5,ciro_core,1549.581984174022,27.359582087867967,4.085,0.0,2.9704249009212074,10.10635272922881,3.1914950086146825,17.95599796038036
45,interdomain,6,ciro_core,1552.9647285889018,27.33413087241675,4.08,0.5,3.258540462565777,10.003926438620306,3.2012221864498516,17.86397804279193
45,interdomain,7,ciro_core,1538.4465169577823,27.33413087241675,4.08,0.0,3.4630683808174125,10.003926438620306,3.1775240603493433,18.235000728984335
45,interdomain,8,ciro_core,1508.8835379365257,27.35619707579443,4.08,1.0,3.2116865130445125,10.092730030893561,3.1141335589054275,18.0286793032397
45,interdomain,9,ciro_core,1474.3042861168494,27.33613303691892,4.075,0.5,3.279215483518223,10.01198398241574,3.0437522268262795,17.934655888096962
45,interdomain,10,ciro_core,1421.6282139826376,27.33613303691892,4.075,0.0,3.4310344935976236,10.01198398241574,2.9395636610274583,18.05767909115244
45,interdomain,11,ciro_core,1372.4130097816542,27.36158425237013,4.08,0.5,3.048145884592442,10.114410273024216,2.827745065630767,17.718588769812296
45,interdomain,12,ciro_core,1280.8048172682902,27.33613303691892,4.075,0.5,3.6278462089407317,10.01198398241574,2.6594040658914655,17.98510992882107
45,interdomain,13,ciro_core,1224.35572855064,27.33613303691892,4.075,0.0,3.3123810634150797,10.01198398241574,2.5271158294612515,17.94880068804497
45,interdomain,14,ciro_core,1162.2648868486356,27.33613303691892,4.075,0.0,3.271106325621127,10.01198398241574,2.4053891637617495,17.704864493116634
45,interdomain,15,ciro_core,1111.954185941196,27.33613303691892,4.075,0.0,3.0288173836706966,10.01198398241574,2.2944466489477797,17.559355806673533
45,interdomain,16,ciro_core,1064.716326714508,27.33835525914114,4.075,0.5,3.443420528572456,10.020927130123793,2.2007820836597767,17.995345544252654
45,interdomain,17,ciro_core,1046.1369228744106,27.33613303691892,4.075,0.5,3.274628660130032,10.01198398241574,2.157361502444947,17.83648008169025
45,interdomain,18,ciro_core,1033.044878953121,27.33835525914114,4.075,0.5,3.352886833645367,10.020927130123793,2.133647766522526,17.88414982294015
45,interdomain,19,ciro_core,1039.744368701558,27.33835525914114,4.075,0.0,3.624153850653862,10.020927130123793,2.158523655650525,17.95508651846929
45,interdomain,20,ciro_core,1070.416103082938,27.41019693558376,4.09,3.5,2.5230867190773116,10.310047955933404,2.2069321275021574,17.17982738312106
45,interdomain,21,ciro_core,1117.6606546445964,27.33144014411432,4.075,3.0,2.977780239127341,9.993097827327402,2.316074509064369,17.6512108768838
45,interdomain,22,ciro_core,1159.9025139078442,27.358973168745706,4.08,2.5,3.8235650968603743,10.103902185085122,2.394080371088257,18.713437514605864
45,interdomain,23,ciro_core,1219.0455237358783,27.345172485907177,4.085,3.5,3.5467804861854018,10.048362489791417,2.5122853005517696,18.47098525590567
45,interdomain,0,lowcarb_bgp,1166.0314208872085,26.821434929446358,3.97,0.0,12.724357522140895,7.940624442330872,2.9306339562015697,9.750260939470529
45,interdomain,1,lowcarb_bgp,1234.3819127583588,26.72656583821396,3.945,7.0,12.510172259273485,7.558831709211326,3.09121631206558,10.033744359049972
45,interdomain,2,lowcarb_bgp,1273.1306429357082,26.83321815364657,3.97,7.5,12.497225462940769,7.988045043855754,3.1937528927197287,9.753084592720331
45,interdomain,3,lowcarb_bgp,1331.0670772108488,26.684428393878708,3.945,8.5,12.950605707931116,7.389253084282585,3.332172363985829,10.096325290850134
45,interdomain,4,lowcarb_bgp,1368.6969029620707,26.86339327119771,3.97,9.0,12.604672507371156,8.109482283871392,3.4296098020511083,9.940249546887019
45,interdomain,5,lowcarb_bgp,1395.8368038364858,26.82742330580338,3.96,5.0,12.597427327407255,7.9647241627624155,3.501024677281064,9.998895505624997
45,interdomain,6,lowcarb_bgp,1399.0992868124456,26.802401566509516,3.96,7.0,12.84354077570995,7.864026263074449,3.505317015556997,10.061601917091794
45,interdomain,7,lowcarb_bgp,1393.113238653159,26.786199086532385,3.96,7.0,12.582676111756854,7.798820735821844,3.4678793617357995,10.763491291038807
45,interdomain,8,lowcarb_bgp,1363.5754163378742,26.804059000769044,3.97,4.5,12.532570247202242,7.870696468804162,3.4257185917888204,9.827028291273304
45,interdomain,9,lowcarb_bgp,1330.1316886301834,26.89467440309222,3.985,8.0,12.737566019429293,8.235370586225018,3.335870667437586,10.058587613250618
45,interdomain,10,lowcarb_bgp,1284.1528835742452,26.751215911371364,3.955,7.0,12.769517164110702,7.658033869578894,3.223597071842532,10.140056075732424
45,interdomain,11,lowcarb_bgp,1236.7124277371242,26.888758444095938,3.975,6.5,12.634489747545402,8.211562303412641,3.0956666532131423,9.922636230366269
45,interdomain,12,lowcarb_bgp,1158.462107073123,26.7853680957084,3.965,8.5,12.833331949766071,7.795476482664519,2.9255332283138404,9.777799772103888
45,interdomain,13,lowcarb_bgp,1104.4915939080806,26.737021377013672,3.95,6.5,12.778075962562145,7.600909151745275,2.7688651001671416,10.099608592074638
45,interdomain,14,lowcarb_bgp,1050.785279935128,26.885878035187456,3.975,7.5,12.54893891440048,8.199970338364961,2.6389141967338237,9.715315640808857
45,interdomain,15,lowcarb_bgp,1003.8759896883024,26.810707828271042,3.965,8.5,12.454089250255562,7.897454119700276,2.5102088450069457,9.80690950601898
45,interdomain,16,lowcarb_bgp,961.9127579803192,26.867974309491537,3.97,7.0,12.766430522285761,8.127918289824482,2.4140677211123274,10.047982136702258
45,interdomain,17,lowcarb_bgp,943.7364987950106,26.76712247597559,3.955,8.5,12.742527964578157,7.722048510131454,2.347302371723334,10.602546233065791
45,interdomain,18,lowcarb_bgp,933.5170954150727,26.84698761068691,3.97,9.5,12.664266382369417,8.04345907353298,2.328833831718157,10.37219309899743
45,interdomain,19,lowcarb_bgp,941.7168754874891,26.72534917121334,3.95,10.5,12.710505158527038,7.553935334497195,2.37728603800217,9.639986201607085
45,interdomain,20,lowcarb_bgp,964.5503130156953,26.798323170744847,3.98,10.5,12.163702558169751,7.847613099993528,2.4280394201556668,8.882270826571943
45,interdomain,21,lowcarb_bgp,1009.3062418782175,26.821972189068962,3.965,8.0,12.383842449327332,7.942786598804008,2.5412540258035987,9.64487927302921
45,interdomain,22,lowcarb_bgp,1048.844516999338,26.70971838004877,3.95,5.5,13.032237448261666,7.491030521116788,2.6376985811452487,10.441832645561357
45,interdomain,23,lowcarb_bgp,1104.0993281260123,26.788530593351435,3.965,8.0,12.641543906881411,7.808203690261154,2.7629923789596997,10.335005999298247
45,interdomain,0,carbon_optimal_as_path,1166.0314208872085,26.821434929446358,3.97,0.0,12.724357522140895,7.940624442330872,2.9306339562015697,9.750260939470529
45,interdomain,1,carbon_optimal_as_path,1234.3819127583588,26.72656583821396,3.945,7.0,12.510172259273485,7.558831709211326,3.09121631206558,10.033744359049972
45,interdomain,2,carbon_optimal_as_path,1273.1306429357082,26.83321815364657,3.97,7.5,12.497225462940769,7.988045043855754,3.1937528927197287,9.753084592720331
45,interdomain,3,carbon_optimal_as_path,1331.0670772108488,26.684428393878708,3.945,8.5,12.950605707931116,7.389253084282585,3.332172363985829,10.096325290850134
45,interdomain,4,carbon_optimal_as_path,1368.6969029620707,26.86339327119771,3.97,9.0,12.604672507371156,8.109482283871392,3.4296098020511083,9.940249546887019
45,interdomain,5,carbon_optimal_as_path,1395.8368038364858,26.82742330580338,3.96,5.0,12.597427327407255,7.9647241627624155,3.501024677281064,9.998895505624997
45,interdomain,6,carbon_optimal_as_path,1399.0992868124456,26.802401566509516,3.96,7.0,12.84354077570995,7.864026263074449,3.505317015556997,10.061601917091794
45,interdomain,7,carbon_optimal_as_path,1393.113238653159,26.786199086532385,3.96,7.0,12.582676111756854,7.798820735821844,3.4678793617357995,10.763491291038807
45,interdomain,8,carbon_optimal_as_path,1363.5754163378742,26.804059000769044,3.97,4.5,12.532570247202242,7.870696468804162,3.4257185917888204,9.827028291273304
45,interdomain,9,carbon_optimal_as_path,1330.1316886301834,26.89467440309222,3.985,8.0,12.737566019429293,8.235370586225018,3.335870667437586,10.058587613250618
45,interdomain,10,carbon_optimal_as_path,1284.1528835742452,26.751215911371364,3.955,7.0,12.769517164110702,7.658033869578894,3.223597071842532,10.140056075732424
45,interdomain,11,carbon_optimal_as_path,1236.7124277371242,26.888758444095938,3.975,6.5,12.634489747545402,8.211562303412641,3.0956666532131423,9.922636230366269
45,interdomain,12,carbon_optimal_as_path,1158.462107073123,26.7853680957084,3.965,8.5,12.833331949766071,7.795476482664519,2.9255332283138404,9.777799772103888
45,interdomain,13,carbon_optimal_as_path,1104.4915939080806,26.737021377013672,3.95,6.5,12.778075962562145,7.600909151745275,2.7688651001671416,10.099608592074638
45,interdomain,14,carbon_optimal_as_path,1050.785279935128,26.885878035187456,3.975,7.5,12.54893891440048,8.199970338364961,2.6389141967338237,9.715315640808857
45,interdomain,15,carbon_optimal_as_path,1003.8759896883024,26.810707828271042,3.965,8.5,12.454089250255562,7.897454119700276,2.5102088450069457,9.80690950601898
45,interdomain,16,carbon_optimal_as_path,961.9127579803192,26.867974309491537,3.97,7.0,12.766430522285761,8.127918289824482,2.4140677211123274,10.047982136702258
45,interdomain,17,carbon_optimal_as_path,943.7364987950106,26.76712247597559,3.955,8.5,12.742527964578157,7.722048510131454,2.347302371723334,10.602546233065791
45,interdomain,18,carbon_optimal_as_path,933.5170954150727,26.84698761068691,3.97,9.5,12.664266382369417,8.04345907353298,2.328833831718157,10.37219309899743
45,interdomain,19,carbon_optimal_as_path,941.7168754874891,26.72534917121334,3.95,10.5,12.710505158527038,7.553935334497195,2.37728603800217,9.639986201607085
45,interdomain,20,carbon_optimal_as_path,964.5503130156953,26.798323170744847,3.98,10.5,12.163702558169751,7.847613099993528,2.4280394201556668,8.882270826571943
45,interdomain,21,carbon_optimal_as_path,1009.3062418782175,26.821972189068962,3.965,8.0,12.383842449327332,7.942786598804008,2.5412540258035987,9.64487927302921
45,interdomain,22,carbon_optimal_as_path,1048.844516999338,26.70971838004877,3.95,5.5,13.032237448261666,7.491030521116788,2.6376985811452487,10.441832645561357
45,interdomain,23,carbon_optimal_as_path,1104.0993281260123,26.788530593351435,3.965,8.0,12.641543906881411,7.808203690261154,2.7629923789596997,10.335005999298247
45,ospf_metric,0,OSPF,1333.4806867844375,25.052237444684952,3.74,0.0,0.0,0.0,3.2686048942386994,0.0
45,ospf_metric,1,OSPF,1406.3559544809918,25.052237444684952,3.74,0.0,0.0,0.0,3.456416515804362,0.0
45,ospf_metric,2,OSPF,1451.390043999723,25.052237444684952,3.74,0.0,0.0,0.0,3.5647911425977408,0.0
45,ospf_metric,3,OSPF,1524.9780360762802,25.052237444684952,3.74,0.0,0.0,0.0,3.7288988475910747,0.0
45,ospf_metric,4,OSPF,1562.3054877121178,25.052237444684952,3.74,0.0,0.0,0.0,3.8325731821915614,0.0
45,ospf_metric,5,OSPF,1590.6889663686504,25.052237444684952,3.74,0.0,0.0,0.0,3.911425776581341,0.0
45,ospf_metric,6,OSPF,1598.2445455572138,25.052237444684952,3.74,0.0,0.0,0.0,3.915102423583871,0.0
45,ospf_metric,7,OSPF,1589.8846812233853,25.052237444684952,3.74,0.0,0.0,0.0,3.912461945171961,0.0
45,ospf_metric,8,OSPF,1557.5250915737824,25.052237444684952,3.74,0.0,0.0,0.0,3.828365029939373,0.0
45,ospf_metric,9,OSPF,1517.7445918650942,25.052237444684952,3.74,0.0,0.0,0.0,3.726515698709702,0.0
45,ospf_metric,10,OSPF,1469.5658666781933,25.052237444684952,3.74,0.0,0.0,0.0,3.6174405372852068,0.0
45,ospf_metric,11,OSPF,1409.770680148589,25.052237444684952,3.74,0.0,0.0,0.0,3.4565617138174565,0.0
45,ospf_metric,12,OSPF,1324.4764968484349,25.052237444684952,3.74,0.0,0.0,0.0,3.265372682380577,0.0
45,ospf_metric,13,OSPF,1261.826682816987,25.052237444684952,3.74,0.0,0.0,0.0,3.0956177997884775,0.0
45,ospf_metric,14,OSPF,1199.0362161955525,25.052237444684952,3.74,0.0,0.0,0.0,2.9431973153655986,0.0
45,ospf_metric,15,OSPF,1143.2356267915568,25.052237444684952,3.74,0.0,0.0,0.0,2.801880949983775,0.0
45,ospf_metric,16,OSPF,1099.6362680938175,25.052237444684952,3.74,0.0,0.0,0.0,2.702596138691315,0.0
45,ospf_metric,17,OSPF,1076.8679247927612,25.052237444684952,3.74,0.0,0.0,0.0,2.6383257594273197,0.0
45,ospf_metric,18,OSPF,1066.638120041078,25.052237444684952,3.74,0.0,0.0,0.0,2.6172917077406135,0.0
45,ospf_metric,19,OSPF,1075.3480756807405,25.052237444684952,3.74,0.0,0.0,0.0,2.6435230929126283,0.0
45,ospf_metric,20,OSPF,1096.4365505199294,25.052237444684952,3.74,0.0,0.0,0.0,2.684184682328409,0.0
45,ospf_metric,21,OSPF,1148.1708194426633,25.052237444684952,3.74,0.0,0.0,0.0,2.8275553861171043,0.0
45,ospf_metric,22,OSPF,1200.6131827390368,25.052237444684952,3.74,0.0,0.0,0.0,2.9582950571741433,0.0
45,ospf_metric,23,OSPF,1261.273578772957,25.052237444684952,3.74,0.0,0.0,0.0,3.100404478208885,0.0
45,ospf_metric,0,C,1097.3788873323094,30.523877928934194,4.43,0.0,17.70567821431784,21.840925371757955,2.741739600913763,16.118965441604715
45,ospf_metric,1,C,1165.1810422033075,30.216045209554395,4.385,11.5,17.148923891511426,20.61216199260074,2.9263302411594982,15.33629619639473
45,ospf_metric,2,C,1202.2925292840227,30.28012400779089,4.395,14.5,17.162685919302604,20.867942732257145,2.9887863720333794,16.158163200119887
45,ospf_metric,3,C,1251.1004262684482,30.51388386274417,4.435,13.0,17.959446190615985,21.80103246314214,3.1426576527184253,15.721563357809238
45,ospf_metric,4,C,1289.0769462007006,30.36904966471936,4.39,15.5,17.48880380056403,21.22290366987726,3.2263357776019403,15.818025534556376
45,ospf_metric,5,C,1312.9340037624245,30.350511619898516,4.405,10.5,17.46129937899216,21.148906108335,3.299602336485382,15.641954495444987
45,ospf_metric,6,C,1319.6674328905908,30.38417292395133,4.405,9.0,17.43019323551012,21.28327057030027,3.300765747984485,15.691458591191193
45,ospf_metric,7,C,1313.6898760211525,30.53749636753672,4.43,9.0,17.372002414018247,21.895285540715292,3.265356446303469,16.539598542729095
45,ospf_metric,8,C,1284.9990855567014,30.28732400557383,4.395,9.0,17.497375001625844,20.896682671349765,3.205354116751845,16.273550414219365
45,ospf_metric,9,C,1254.4375639741017,30.24450849125003,4.395,16.0,17.348572961635476,20.725777719573163,3.1401716562576483,15.73437736100439
45,ospf_metric,10,C,1208.029653557894,30.567888993093558,4.44,13.5,17.796835041594676,22.016602551317423,3.0397686688011136,15.969077101060535
45,ospf_metric,11,C,1164.9327790707557,30.44947749344184,4.415,9.5,17.367214719774676,21.54394417134969,2.9284274134130817,15.27918041483769
45,ospf_metric,12,C,1093.3756198896,30.35786401665106,4.415,13.0,17.44846945255236,21.17825437221274,2.7583641560971484,15.526819619064149
45,ospf_metric,13,C,1039.1944488416361,30.516808142021517,4.425,14.0,17.64364607335229,21.812705190114354,2.5839980069976503,16.527227386591008
45,ospf_metric,14,C,990.383457961989,30.540868306502333,4.425,12.5,17.401706088211597,21.90874517270648,2.490054924803075,15.396262703720046
45,ospf_metric,15,C,945.0454803052837,30.506549640550773,4.42,11.5,17.335896628981505,21.771756745914924,2.382809797790767,14.95677938048847
